指标                                Single-PPO     Indep-PPO         MAPPO
------------------------------------------------------------------------
avg_dynamic_response_s            19368.5273    19009.4468    16341.0889
avg_off_nadir_deg                    16.9513       14.7128       14.5018
coordination_gain                     0.0000        0.9333        0.9167
duplicate_rate                        0.0000        0.3238        0.0000
dynamic_completion_rate               1.0000        1.0000        1.0000
dynamic_completion_rate_raw           0.0667        0.1167        0.1167
dynamic_feasible_ratio                0.0667        0.1167        0.1167
dynamic_reward                        2.2224        0.0000        0.0000
feasible_ratio                        0.1875        0.3563        0.3563
load_balance_cv                       0.0000        0.2084        0.4640
n_duplicates                          0.0000       13.5000        0.0000
n_scheduled                          10.0000       28.0000       27.5000
observation_success_rate              0.6652        0.9800        0.9644
observation_success_rate_raw          0.1250        0.3500        0.3438
routine_completion_rate               0.6061        0.9762        0.9589
routine_completion_rate_raw           0.1600        0.4900        0.4800
routine_reward                        8.9038        0.0000        0.0000
total_reward                         11.1262       44.6259       29.4924
